game,awayTeam,gameIDs,gameTime,homeTeam,televised
400927577,http://www.espn.com/wnba/team/_/name/sa/san-antonio-stars,400927577,2017-08-25 17:00:00,http://www.espn.com/wnba/team/_/name/min/minnesota-lynx,not-televised
400927578,http://www.espn.com/wnba/team/_/name/atl/atlanta-dream,400927578,2017-08-26 15:00:00,http://www.espn.com/wnba/team/_/name/ind/indiana-fever,not-televised
400927579,http://www.espn.com/wnba/team/_/name/wsh/washington-mystics,400927579,2017-08-26 16:00:00,http://www.espn.com/wnba/team/_/name/dal/dallas-wings,not-televised
400927580,http://www.espn.com/wnba/team/_/name/ny/new-york-liberty,400927580,2017-08-27 12:00:00,http://www.espn.com/wnba/team/_/name/chi/chicago-sky,not-televised
400927581,http://www.espn.com/wnba/team/_/name/la/los-angeles-sparks,400927581,2017-08-27 16:00:00,http://www.espn.com/wnba/team/_/name/min/minnesota-lynx,http://www.espn.com/espntv/onair/index
400927582,http://www.espn.com/wnba/team/_/name/sea/seattle-storm,400927582,2017-08-27 18:00:00,http://www.espn.com/wnba/team/_/name/phx/phoenix-mercury,not-televised
400927583,http://www.espn.com/wnba/team/_/name/ind/indiana-fever,400927583,2017-08-30 16:00:00,http://www.espn.com/wnba/team/_/name/min/minnesota-lynx,not-televised
400927584,http://www.espn.com/wnba/team/_/name/chi/chicago-sky,400927584,2017-08-30 17:00:00,http://www.espn.com/wnba/team/_/name/dal/dallas-wings,not-televised
400927585,http://www.espn.com/wnba/team/_/name/wsh/washington-mystics,400927585,2017-09-01 16:00:00,http://www.espn.com/wnba/team/_/name/sea/seattle-storm,not-televised
400927586,http://www.espn.com/wnba/team/_/name/ny/new-york-liberty,400927586,2017-09-01 16:30:00,http://www.espn.com/wnba/team/_/name/sa/san-antonio-stars,not-televised
400927587,http://www.espn.com/wnba/team/_/name/min/minnesota-lynx,400927587,2017-09-01 17:00:00,http://www.espn.com/wnba/team/_/name/chi/chicago-sky,not-televised
400927588,http://www.espn.com/wnba/team/_/name/phx/phoenix-mercury,400927588,2017-09-01 19:00:00,http://www.espn.com/wnba/team/_/name/conn/connecticut-sun,not-televised
400927589,http://www.espn.com/wnba/team/_/name/la/los-angeles-sparks,400927589,2017-09-01 19:30:00,http://www.espn.com/wnba/team/_/name/atl/atlanta-dream,not-televised
400927590,http://www.espn.com/wnba/team/_/name/ind/indiana-fever,400927590,2017-09-02 16:00:00,http://www.espn.com/wnba/team/_/name/sa/san-antonio-stars,not-televised
400927591,http://www.espn.com/wnba/team/_/name/dal/dallas-wings,400927591,2017-09-03 13:00:00,http://www.espn.com/wnba/team/_/name/ny/new-york-liberty,not-televised
400927592,http://www.espn.com/wnba/team/_/name/la/los-angeles-sparks,400927592,2017-09-03 13:00:00,http://www.espn.com/wnba/team/_/name/conn/connecticut-sun,not-televised
400927593,http://www.espn.com/wnba/team/_/name/phx/phoenix-mercury,400927593,2017-09-03 13:00:00,http://www.espn.com/wnba/team/_/name/atl/atlanta-dream,not-televised
400927594,http://www.espn.com/wnba/team/_/name/chi/chicago-sky,400927594,2017-09-03 13:00:00,http://www.espn.com/wnba/team/_/name/sea/seattle-storm,not-televised
400927595,http://www.espn.com/wnba/team/_/name/min/minnesota-lynx,400927595,2017-09-03 13:00:00,http://www.espn.com/wnba/team/_/name/wsh/washington-mystics,not-televised
